title,rating,genre,director,star,score
Pink Floyd: The Wall,R,Drama,Alan Parker,Bob Geldof,8.0
Cat People,R,Fantasy,Paul Schrader,Nastassja Kinski,6.2
Fanny and Alexander,R,Drama,Ingmar Bergman,Bertil Guve,8.1
Friday the 13th Part III,R,Horror,Steve Miner,Dana Kimmell,5.7
Firefox,PG,Action,Clint Eastwood,Clint Eastwood,6.0
Halloween III: Season of the Witch,R,Horror,Tommy Lee Wallace,Tom Atkins,5.0
The Dark Crystal,PG,Adventure,Jim Henson,Jim Henson,7.2
The Verdict,R,Drama,Sidney Lumet,Paul Newman,7.7
Pieces,Not Rated,Horror,Juan Piquer Simón,Christopher George,6.1
Zapped!,R,Comedy,Robert J. Rosenthal,Scott Baio,4.9
Six Pack,PG,Comedy,Daniel Petrie,Kenny Rogers,5.9
The World According to Garp,R,Comedy,George Roy Hill,Robin Williams,7.2
Diner,R,Comedy,Barry Levinson,Steve Guttenberg,7.1
The Year of Living Dangerously,PG,Drama,Peter Weir,Mel Gibson,7.1
Night Shift,R,Comedy,Ron Howard,Henry Winkler,6.6
Summer Lovers,R,Comedy,Randal Kleiser,Peter Gallagher,5.7
The Last Unicorn,G,Animation,Jules Bass,Jeff Bridges,7.4
The Entity,R,Drama,Sidney J. Furie,Barbara Hershey,6.7
The Toy,PG,Comedy,Richard Donner,Richard Pryor,5.8
The House on Sorority Row,R,Horror,Mark Rosman,Kate McNeil,6.0
Evil Under the Sun,PG,Crime,Guy Hamilton,Peter Ustinov,7.1
The Sword and the Sorcerer,R,Action,Albert Pyun,Lee Horsley,5.6
Death Wish II,R,Action,Michael Winner,Charles Bronson,6.0
Silent Rage,R,Action,Michael Miller,Chuck Norris,5.5
Megaforce,PG,Action,Hal Needham,Barry Bostwick,3.7
Personal Best,R,Drama,Robert Towne,Mariel Hemingway,6.3
Dead Men Don't Wear Plaid,PG,Comedy,Carl Reiner,Steve Martin,6.9
Amityville II: The Possession,R,Horror,Damiano Damiani,James Olson,5.5
Missing,PG,Biography,Costa-Gavras,Jack Lemmon,7.7
Frances,R,Biography,Graeme Clifford,Jessica Lange,7.3
The Seduction,R,Thriller,David Schmoeller,Morgan Fairchild,4.9
Deathtrap,PG,Comedy,Sidney Lumet,Michael Caine,7.0
Tex,PG,Drama,Tim Hunter,Matt Dillon,6.5
Time Walker,PG,Horror,Tom Kennedy,Ben Murphy,3.6
"I, the Jury",R,Crime,Richard T. Heffron,Armand Assante,5.9
Tempest,PG,Comedy,Paul Mazursky,John Cassavetes,6.5
Young Doctors in Love,R,Comedy,Garry Marshall,Michael McKean,5.5
My Favorite Year,PG,Comedy,Richard Benjamin,Peter O'Toole,7.4
