title,rating,genre,director,star,score
Raise Your Voice,PG,Family,Sean McNamara,Hilary Duff,5.9
Hidalgo,PG-13,Action,Joe Johnston,Viggo Mortensen,6.7
Bridget Jones: The Edge of Reason,R,Comedy,Beeban Kidron,Renée Zellweger,6.0
Mean Creek,R,Crime,Jacob Estes,Rory Culkin,7.2
Dirty Dancing: Havana Nights,PG-13,Drama,Guy Ferland,Diego Luna,6.0
D.E.B.S.,PG-13,Action,Angela Robinson,Sara Foster,5.3
The Motorcycle Diaries,R,Adventure,Walter Salles,Gael García Bernal,7.8
Club Dread,R,Comedy,Jay Chandrasekhar,Jay Chandrasekhar,5.7
Eros,R,Drama,Michelangelo Antonioni,Robert Downey Jr.,6.0
Bad Education,NC-17,Crime,Pedro Almodóvar,Gael García Bernal,7.4
Soul Plane,R,Comedy,Jessy Terrero,Dwayne Adway,4.5
3-Iron,R,Crime,Kim Ki-duk,Seung-Yun Lee,8.0
Thunderbirds,PG,Action,Jonathan Frakes,Bill Paxton,4.3
New York Minute,PG,Comedy,Dennie Gordon,Mary-Kate Olsen,5.0
Birth,R,Drama,Jonathan Glazer,Nicole Kidman,6.2
Vanity Fair,PG-13,Drama,Mira Nair,Reese Witherspoon,6.2
A Dirty Shame,NC-17,Comedy,John Waters,Tracey Ullman,5.1
I Heart Huckabees,R,Comedy,David O. Russell,Jason Schwartzman,6.6
The Sea Inside,PG-13,Biography,Alejandro Amenábar,Javier Bardem,8.0
The Door in the Floor,R,Comedy,Tod Williams,Jeff Bridges,6.7
The Whole Ten Yards,PG-13,Comedy,Howard Deutch,Bruce Willis,5.5
Envy,PG-13,Comedy,Barry Levinson,Ben Stiller,4.8
Alfie,R,Comedy,Charles Shyer,Jude Law,6.2
Superbabies: Baby Geniuses 2,PG,Comedy,Bob Clark,Jon Voight,1.9
Nobody Knows,PG-13,Drama,Hirokazu Koreeda,Yûya Yagira,8.1
Black Friday,Not Rated,Action,Anurag Kashyap,Kay Kay Menon,8.5
Johnson Family Vacation,PG-13,Comedy,Christopher Erskin,Cedric the Entertainer,4.5
The Chorus,PG-13,Comedy,Christophe Barratier,Gérard Jugnot,7.9
The Woodsman,R,Drama,Nicole Kassell,Kevin Bacon,7.2
Three... Extremes,R,Horror,Fruit Chan,Bai Ling,7.0
Spartan,R,Action,David Mamet,Val Kilmer,6.5
Home on the Range,PG,Animation,Will Finn,Judi Dench,5.4
Christmas with the Kranks,PG,Comedy,Joe Roth,Tim Allen,5.4
Win a Date with Tad Hamilton!,PG-13,Comedy,Robert Luketic,Kate Bosworth,5.6
Night Watch,R,Action,Timur Bekmambetov,Konstantin Khabenskiy,6.4
The Merchant of Venice,R,Drama,Michael Radford,Al Pacino,7.0
Ladder 49,PG-13,Action,Jay Russell,Joaquin Phoenix,6.5
The Libertine,R,Biography,Laurence Dunmore,Johnny Depp,6.3
Ma mère,NC-17,Drama,Christophe Honoré,Isabelle Huppert,5.1
You Got Served,PG-13,Drama,Chris Stokes,Omarion,3.9
A Good Woman,PG,Drama,Mike Barker,Helen Hunt,6.5
Beyond the Sea,PG-13,Biography,Kevin Spacey,Kevin Spacey,6.7
Ladies in Lavender,PG-13,Drama,Charles Dance,Judi Dench,7.0
Before the Fall,,Drama,Dennis Gansel,Max Riemelt,7.4
Saving Face,R,Comedy,Alice Wu,Joan Chen,7.4
The Big Bounce,PG-13,Comedy,George Armitage,Owen Wilson,4.9
Veer-Zaara,Not Rated,Drama,Yash Chopra,Shah Rukh Khan,7.8
Little Black Book,PG-13,Comedy,Nick Hurran,Brittany Murphy,5.3
Laws of Attraction,PG-13,Comedy,Peter Howitt,Pierce Brosnan,5.9
Undertow,R,Drama,David Gordon Green,Jamie Bell,6.6
Head in the Clouds,R,Drama,John Duigan,Charlize Theron,6.6
Maria Full of Grace,R,Crime,Joshua Marston,Catalina Sandino Moreno,7.4
Vera Drake,R,Crime,Mike Leigh,Imelda Staunton,7.6
Millions,PG,Comedy,Danny Boyle,Alex Etel,6.9
It's All Gone Pete Tong,R,Biography,Michael Dowse,Paul Kaye,7.3
Catch That Kid,PG,Action,Bart Freundlich,Kristen Stewart,5.2
Lakshya,Not Rated,Action,Farhan Akhtar,Hrithik Roshan,7.9
Main Hoon Na,Not Rated,Action,Farah Khan,Shah Rukh Khan,7.0
Tae Guk Gi: The Brotherhood of War,R,Action,Je-kyu Kang,Jang Dong-Gun,8.0
Lila dit ça,R,Crime,Ziad Doueiri,Vahina Giocante,6.9
Five Times Two,R,Drama,François Ozon,Valeria Bruni Tedeschi,6.6
She Hate Me,R,Comedy,Spike Lee,Anthony Mackie,5.3
Mind Game,TV-MA,Animation,Masaaki Yuasa,Kôji Imada,7.8
As It Is in Heaven,Not Rated,Comedy,Kay Pollak,Michael Nyqvist,7.5
Palindromes,Not Rated,Comedy,Todd Solondz,Jennifer Jason Leigh,6.7
Dhoom,Not Rated,Action,Sanjay Gadhvi,Abhishek Bachchan,6.7
Welcome to Mooseport,PG-13,Comedy,Donald Petrie,Gene Hackman,5.2
Ghost in the Shell 2: Innocence,PG-13,Animation,Mamoru Oshii,Akio Ôtsuka,7.5
Summer Storm,R,Comedy,Marco Kreuzpaintner,Robert Stadlober,7.2
Harry Potter and the Goblet of Fire,PG-13,Adventure,Mike Newell,Daniel Radcliffe,7.7
Memoirs of a Geisha,PG-13,Drama,Rob Marshall,Ziyi Zhang,7.3
Pride & Prejudice,PG,Drama,Joe Wright,Keira Knightley,7.8
Batman Begins,PG-13,Action,Christopher Nolan,Christian Bale,8.2
The Descent,R,Adventure,Neil Marshall,Shauna Macdonald,7.2
Brokeback Mountain,R,Drama,Ang Lee,Jake Gyllenhaal,7.7
Sin City,R,Crime,Frank Miller,Mickey Rourke,8.0
Charlie and the Chocolate Factory,PG,Adventure,Tim Burton,Johnny Depp,6.6
V for Vendetta,R,Action,James McTeigue,Hugo Weaving,8.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,Adventure,Andrew Adamson,Tilda Swinton,6.9
Wedding Crashers,R,Comedy,David Dobkin,Owen Wilson,6.9
War of the Worlds,PG-13,Adventure,Steven Spielberg,Tom Cruise,6.5
Kingdom of Heaven,R,Action,Ridley Scott,Orlando Bloom,7.2
Constantine,R,Action,Francis Lawrence,Keanu Reeves,7.0
Star Wars: Episode III - Revenge of the Sith,PG-13,Action,George Lucas,Hayden Christensen,7.5
King Kong,PG-13,Action,Peter Jackson,Naomi Watts,7.2
The Hitchhiker's Guide to the Galaxy,PG,Adventure,Garth Jennings,Martin Freeman,6.7
Fantastic Four,PG-13,Action,Tim Story,Ioan Gruffudd,5.7
Fantastic Four,PG-13,Action,Josh Trank,Miles Teller,4.2
Serenity,PG-13,Action,Joss Whedon,Nathan Fillion,7.8
Serenity,R,Drama,Steven Knight,Matthew McConaughey,5.4
Mr. & Mrs. Smith,PG-13,Action,Doug Liman,Brad Pitt,6.5
Waiting...,R,Comedy,Rob McKittrick,Ryan Reynolds,6.7
Match Point,R,Drama,Woody Allen,Scarlett Johansson,7.6
Hostel,R,Horror,Eli Roth,Jay Hernandez,5.9
Sky High,PG,Adventure,Mike Mitchell,Kurt Russell,6.2
Assault on Precinct 13,R,Action,Jean-François Richet,Ethan Hawke,6.3
Madagascar,PG,Animation,Eric Darnell,Chris Rock,6.9
Hard Candy,R,Drama,David Slade,Patrick Wilson,7.1
The Sisterhood of the Traveling Pants,PG,Comedy,Ken Kwapis,Amber Tamblyn,6.5
The Longest Yard,PG-13,Comedy,Peter Segal,Adam Sandler,6.4
Red Eye,PG-13,Thriller,Wes Craven,Rachel McAdams,6.5
House of Wax,R,Horror,Jaume Collet-Serra,Chad Michael Murray,5.4
Four Brothers,R,Action,John Singleton,Mark Wahlberg,6.8
The Dukes of Hazzard,PG-13,Comedy,Jay Chandrasekhar,Seann William Scott,5.1
The Interpreter,PG-13,Crime,Sydney Pollack,Nicole Kidman,6.4
Walk the Line,PG-13,Biography,James Mangold,Joaquin Phoenix,7.8
Lords of Dogtown,PG-13,Biography,Catherine Hardwicke,Heath Ledger,7.1
Munich,R,Action,Steven Spielberg,Eric Bana,7.5
Kiss Kiss Bang Bang,R,Comedy,Shane Black,Robert Downey Jr.,7.5
The Constant Gardener,R,Drama,Fernando Meirelles,Ralph Fiennes,7.4
The Pacifier,PG,Action,Adam Shankman,Vin Diesel,5.6
A History of Violence,R,Drama,David Cronenberg,Viggo Mortensen,7.4
The Devil's Rejects,R,Horror,Rob Zombie,Sid Haig,6.8
Hitch,PG-13,Comedy,Andy Tennant,Will Smith,6.6
Rent,PG-13,Drama,Chris Columbus,Taye Diggs,6.9
Robots,PG,Animation,Chris Wedge,Ewan McGregor,6.3
Jarhead,R,Action,Sam Mendes,Jake Gyllenhaal,7.0
Into the Blue,PG-13,Action,John Stockwell,Paul Walker,5.9
Saw II,R,Horror,Darren Lynn Bousman,Donnie Wahlberg,6.6
Revolver,R,Action,Guy Ritchie,Jason Statham,6.4
Flightplan,PG-13,Drama,Robert Schwentke,Jodie Foster,6.3
Coach Carter,PG-13,Biography,Thomas Carter,Samuel L. Jackson,7.3
Dark Water,PG-13,Drama,Walter Salles,Jennifer Connelly,5.6
Lord of War,R,Action,Andrew Niccol,Nicolas Cage,7.6
Zathura: A Space Adventure,PG,Action,Jon Favreau,Josh Hutcherson,6.2
The Quiet,R,Crime,Jamie Babbit,Camilla Belle,6.2
The Amityville Horror,R,Horror,Andrew Douglas,Ryan Reynolds,6.0
Be Cool,PG-13,Comedy,F. Gary Gray,John Travolta,5.6
Just Friends,PG-13,Comedy,Roger Kumble,Ryan Reynolds,6.2
"Yours, Mine & Ours",PG,Comedy,Raja Gosnell,Dennis Quaid,5.5
Cinderella Man,PG-13,Biography,Ron Howard,Russell Crowe,8.0
Nanny McPhee,PG,Comedy,Kirk Jones,Emma Thompson,6.6
The Brothers Grimm,PG-13,Action,Terry Gilliam,Matt Damon,5.9
Corpse Bride,PG,Animation,Tim Burton,Johnny Depp,7.3
Transporter 2,R,Action,Louis Leterrier,Jason Statham,6.3
Two for the Money,R,Crime,D.J. Caruso,Matthew McConaughey,6.3
The New World,PG-13,Biography,Terrence Malick,Colin Farrell,6.7
Brick,R,Action,Rian Johnson,Joseph Gordon-Levitt,7.3
Wolf Creek,R,Horror,Greg McLean,Nathan Phillips,6.2
Breakfast on Pluto,R,Comedy,Neil Jordan,Cillian Murphy,7.2
The Exorcism of Emily Rose,PG-13,Drama,Scott Derrickson,Laura Linney,6.7
Elektra,PG-13,Action,Rob Bowman,Jennifer Garner,4.7
Doom,R,Action,Andrzej Bartkowiak,Karl Urban,5.2
The Legend of Zorro,PG,Action,Martin Campbell,Antonio Banderas,6.0
Cheaper by the Dozen 2,PG,Adventure,Adam Shankman,Steve Martin,5.5
Æon Flux,PG-13,Action,Karyn Kusama,Charlize Theron,5.5
Son of the Mask,PG,Comedy,Lawrence Guterman,Jamie Kennedy,2.2
Rumor Has It...,PG-13,Comedy,Rob Reiner,Jennifer Aniston,5.5
The Producers,PG-13,Comedy,Susan Stroman,Nathan Lane,6.3
The Ringer,PG-13,Comedy,Barry W. Blaustein,Johnny Knoxville,5.8
Kicking & Screaming,PG,Comedy,Jesse Dylan,Will Ferrell,5.6
The Cave,PG-13,Action,Bruce Hunt,Piper Perabo,5.1
Lady Vengeance,R,Crime,Park Chan-Wook,Nam-mi Kang,7.6
Broken Flowers,R,Comedy,Jim Jarmusch,Bill Murray,7.2
Fun with Dick and Jane,PG-13,Comedy,Dean Parisot,Jim Carrey,6.2
Imagine Me & You,R,Comedy,Ol Parker,Piper Perabo,6.8
The Family Stone,PG-13,Comedy,Thomas Bezucha,Dermot Mulroney,6.3
Just Like Heaven,PG-13,Comedy,Mark Waters,Reese Witherspoon,6.7
Capote,R,Biography,Bennett Miller,Philip Seymour Hoffman,7.3
The Skeleton Key,PG-13,Drama,Iain Softley,Kate Hudson,6.5
The Squid and the Whale,R,Comedy,Noah Baumbach,Owen Kline,7.3
Land of the Dead,R,Horror,George A. Romero,John Leguizamo,6.2
Elizabethtown,PG-13,Comedy,Cameron Crowe,Orlando Bloom,6.4
Chicken Little,G,Animation,Mark Dindal,Zach Braff,5.7
Monster-in-Law,PG-13,Comedy,Robert Luketic,Jennifer Lopez,5.6
Domino,R,Action,Tony Scott,Keira Knightley,5.9
The Ring Two,PG-13,Horror,Hideo Nakata,Naomi Watts,5.4
London,R,Drama,Hunter Richards,Jessica Biel,6.5
Deuce Bigalow: European Gigolo,R,Comedy,Mike Bigelow,Rob Schneider,4.7
Harsh Times,R,Action,David Ayer,Christian Bale,6.9
Diary of a Mad Black Woman,PG-13,Comedy,Darren Grant,Kimberly Elise,5.8
Herbie Fully Loaded,G,Adventure,Angela Robinson,Lindsay Lohan,4.8
Wallace & Gromit: The Curse of the Were-Rabbit,G,Animation,Steve Box,Peter Sallis,7.4
Casanova,R,Adventure,Lasse Hallström,Heath Ledger,6.5
The Jacket,R,Drama,John Maybury,Adrien Brody,7.1
The Wedding Date,PG-13,Comedy,Clare Kilner,Dermot Mulroney,6.2
Thank You for Smoking,R,Comedy,Jason Reitman,Aaron Eckhart,7.6
Hide and Seek,R,Drama,John Polson,Robert De Niro,6.0
Cursed,PG-13,Comedy,Wes Craven,Christina Ricci,5.0
Miss Congeniality 2: Armed & Fabulous,PG-13,Action,John Pasquin,Sandra Bullock,5.1
Bad News Bears,PG-13,Comedy,Richard Linklater,Billy Bob Thornton,5.8
Kinky Boots,PG-13,Comedy,Julian Jarrold,Chiwetel Ejiofor,7.1
xXx: State of the Union,PG-13,Action,Lee Tamahori,Ice Cube,4.5
Syriana,R,Drama,Stephen Gaghan,George Clooney,6.9
North Country,R,Drama,Niki Caro,Charlize Theron,7.3
Derailed,R,Crime,Mikael Håfström,Clive Owen,6.6
Romance & Cigarettes,R,Comedy,John Turturro,James Gandolfini,6.2
The Perfect Man,PG,Comedy,Mark Rosman,Hilary Duff,5.5
Unleashed,R,Action,Louis Leterrier,Jet Li,7.0
Hostage,R,Action,Florent-Emilio Siri,Bruce Willis,6.5
The Greatest Game Ever Played,PG,Biography,Bill Paxton,Shia LaBeouf,7.4
Caché (Hidden),R,Drama,Michael Haneke,Daniel Auteuil,7.3
Get Rich or Die Tryin',R,Biography,Jim Sheridan,50 Cent,5.4
Bewitched,PG-13,Comedy,Nora Ephron,Nicole Kidman,4.8
Hoodwinked,PG,Animation,Cory Edwards,Anne Hathaway,6.4
Adam's Apples,R,Comedy,Anders Thomas Jensen,Ulrich Thomsen,7.8
BloodRayne,R,Action,Uwe Boll,Kristanna Loken,2.9
The Three Burials of Melquiades Estrada,R,Adventure,Tommy Lee Jones,Tommy Lee Jones,7.4
Feast,R,Action,John Gulager,Navi Rawat,6.3
Goal! The Dream Begins,PG,Adventure,Danny Cannon,Kuno Becker,6.7
The Notorious Bettie Page,R,Biography,Mary Harron,Gretchen Mol,6.5
Man-Thing,R,Action,Brett Leonard,Jack Thompson,4.0
"Good Night, and Good Luck.",PG,Biography,George Clooney,David Strathairn,7.4
Ice Princess,G,Comedy,Tim Fywell,Michelle Trachtenberg,6.0
A Lot Like Love,PG-13,Comedy,Nigel Cole,Ashton Kutcher,6.6
Cry Wolf,PG-13,Drama,Jeff Wadlow,Julian Morris,5.8
The Proposition,R,Crime,John Hillcoat,Ray Winstone,7.3
The World's Fastest Indian,PG-13,Biography,Roger Donaldson,Anthony Hopkins,7.8
Stealth,PG-13,Action,Rob Cohen,Josh Lucas,5.1
Hustle & Flow,R,Crime,Craig Brewer,Terrence Howard,7.3
The Matador,R,Comedy,Richard Shepard,Pierce Brosnan,6.7
In Her Shoes,PG-13,Comedy,Curtis Hanson,Toni Collette,6.4
Because of Winn-Dixie,PG,Comedy,Wayne Wang,AnnaSophia Robb,6.3
Where the Truth Lies,Unrated,Crime,Atom Egoyan,Kevin Bacon,6.5
Must Love Dogs,PG-13,Comedy,Gary David Goldberg,Diane Lane,5.9
Guess Who,PG-13,Comedy,Kevin Rodney Sullivan,Ashton Kutcher,5.9
The Ballad of Jack and Rose,R,Drama,Rebecca Miller,Daniel Day-Lewis,6.6
Stay,R,Drama,Marc Forster,Ewan McGregor,6.8
The Great Raid,R,Action,John Dahl,Benjamin Bratt,6.7
Tideland,R,Drama,Terry Gilliam,Jeff Bridges,6.5
Roll Bounce,PG-13,Comedy,Malcolm D. Lee,Shad Moss,6.2
Alone in the Dark,R,Action,Uwe Boll,Christian Slater,2.4
An American Haunting,PG-13,Drama,Courtney Solomon,Donald Sutherland,5.1
Supercross,PG-13,Action,Steve Boyum,Steve Howey,4.3
Oliver Twist,PG-13,Crime,Roman Polanski,Barney Clark,6.8
White Noise,PG-13,Drama,Geoffrey Sax,Michael Keaton,5.5
Are We There Yet?,PG,Adventure,Brian Levant,Ice Cube,4.7
Last Days,R,Drama,Gus Van Sant,Michael Pitt,5.8
Racing Stripes,PG,Adventure,Frederik Du Chau,Frankie Muniz,5.2
A Sound of Thunder,PG-13,Action,Peter Hyams,Edward Burns,4.2
The Weather Man,R,Comedy,Gore Verbinski,Nicolas Cage,6.5
Keeping Mum,R,Comedy,Niall Johnson,Rowan Atkinson,6.8
Angel-A,R,Comedy,Luc Besson,Rie Rasmussen,7.1
An Unfinished Life,PG-13,Drama,Lasse Hallström,Jennifer Lopez,7.0
Boogeyman,PG-13,Drama,Stephen Kay,Barry Watson,4.2
Fierce People,R,Drama,Griffin Dunne,Diane Lane,6.5
Asylum,R,Drama,David Mackenzie,Natasha Richardson,6.1
Me and You and Everyone We Know,R,Comedy,Miranda July,John Hawkes,7.3
Transamerica,R,Adventure,Duncan Tucker,Felicity Huffman,7.4
The Lost City,R,Drama,Andy Garcia,Andy Garcia,6.6
Beauty Shop,PG-13,Comedy,Bille Woodruff,Queen Latifah,5.6
The Upside of Anger,R,Comedy,Mike Binder,Joan Allen,6.8
The Chumscrubber,R,Comedy,Arie Posin,Jamie Bell,6.9
The Man,PG-13,Action,Les Mayfield,Samuel L. Jackson,5.6
Valiant,G,Animation,Gary Chapman,Ewan McGregor,5.5
Prime,PG-13,Comedy,Ben Younger,Uma Thurman,6.2
Manderlay,Not Rated,Drama,Lars von Trier,Bryce Dallas Howard,7.3
Junebug,R,Comedy,Phil Morrison,Embeth Davidtz,6.9
Dominion,R,Drama,Paul Schrader,Stellan Skarsgård,5.2
Battle in Heaven,Unrated,Crime,Carlos Reygadas,Marcos Hernández,5.6
Little Manhattan,PG,Comedy,Mark Levin,Josh Hutcherson,7.5
Dreamer,PG,Drama,John Gatins,Kurt Russell,6.8
Black,Not Rated,Drama,Sanjay Leela Bhansali,Amitabh Bachchan,8.2
Beowulf & Grendel,R,Action,Sturla Gunnarsson,Hringur Ingvarsson,5.8
Joyeux Noel,PG-13,Drama,Christian Carion,Diane Kruger,7.7
Dirty Love,R,Comedy,John Asher,Jenny McCarthy,3.6
Thumbsucker,R,Comedy,Mike Mills,Lou Taylor Pucci,6.6
Rebound,PG,Comedy,Steve Carr,Martin Lawrence,5.2
The Departed,R,Crime,Martin Scorsese,Leonardo DiCaprio,8.5
The Fast and the Furious: Tokyo Drift,PG-13,Action,Justin Lin,Lucas Black,6.0
The Prestige,PG-13,Drama,Christopher Nolan,Christian Bale,8.5
Cars,G,Animation,John Lasseter,Owen Wilson,7.1
300,R,Action,Zack Snyder,Gerard Butler,7.6
The Devil Wears Prada,PG-13,Comedy,David Frankel,Anne Hathaway,6.9
Casino Royale,PG-13,Action,Martin Campbell,Daniel Craig,8.0
Pan's Labyrinth,R,Drama,Guillermo del Toro,Ivana Baquero,8.2
Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,Gore Verbinski,Johnny Depp,7.3
Idiocracy,R,Adventure,Mike Judge,Luke Wilson,6.6
Apocalypto,R,Action,Mel Gibson,Gerardo Taracena,7.8
She's the Man,PG-13,Comedy,Andy Fickman,Amanda Bynes,6.3
Little Children,R,Drama,Todd Field,Kate Winslet,7.5
Children of Men,R,Adventure,Alfonso Cuarón,Julianne Moore,7.9
The Da Vinci Code,PG-13,Mystery,Ron Howard,Tom Hanks,6.6
The Pursuit of Happyness,PG-13,Biography,Gabriele Muccino,Will Smith,8.0
Little Miss Sunshine,R,Comedy,Jonathan Dayton,Steve Carell,7.8
The Last King of Scotland,R,Biography,Kevin Macdonald,James McAvoy,7.7
Blood Diamond,R,Adventure,Edward Zwick,Leonardo DiCaprio,8.0
The Lives of Others,R,Drama,Florian Henckel von Donnersmarck,Ulrich Mühe,8.4
Night at the Museum,PG,Adventure,Shawn Levy,Ben Stiller,6.4
Mission: Impossible III,PG-13,Action,J.J. Abrams,Tom Cruise,6.9
Marie Antoinette,PG-13,Biography,Sofia Coppola,Kirsten Dunst,6.5
Inside Man,R,Crime,Spike Lee,Denzel Washington,7.6
Accepted,PG-13,Comedy,Steve Pink,Justin Long,6.4
Superman Returns,PG-13,Action,Bryan Singer,Brandon Routh,6.0
Slither,R,Comedy,James Gunn,Nathan Fillion,6.5
Nacho Libre,PG,Comedy,Jared Hess,Jack Black,5.8
The Covenant,PG-13,Action,Renny Harlin,Steven Strait,5.3
The Hills Have Eyes,R,Horror,Alexandre Aja,Ted Levine,6.4
The Fountain,PG-13,Drama,Darren Aronofsky,Hugh Jackman,7.2
Underworld: Evolution,R,Action,Len Wiseman,Kate Beckinsale,6.7
Click,PG-13,Comedy,Frank Coraci,Adam Sandler,6.4
The Holiday,PG-13,Comedy,Nancy Meyers,Kate Winslet,6.9
Silent Hill,R,Horror,Christophe Gans,Radha Mitchell,6.5
Basic Instinct 2,R,Drama,Michael Caton-Jones,Sharon Stone,4.3
The Black Dahlia,R,Crime,Brian De Palma,Josh Hartnett,5.6
Perfume: The Story of a Murderer,R,Crime,Tom Tykwer,Ben Whishaw,7.5
Lucky Number Slevin,R,Crime,Paul McGuigan,Josh Hartnett,7.7
Smokin' Aces,R,Action,Joe Carnahan,Jeremy Piven,6.7
This Is England,Not Rated,Crime,Shane Meadows,Thomas Turgoose,7.7
Cashback,R,Comedy,Sean Ellis,Sean Biggerstaff,7.1
Deja Vu,PG-13,Action,Tony Scott,Denzel Washington,7.0
Grandma's Boy,R,Comedy,Nicholaus Goossen,Allen Covert,7.0
RV,PG,Adventure,Barry Sonnenfeld,Robin Williams,5.5
Tenacious D in the Pick of Destiny,R,Adventure,Liam Lynch,Jack Black,6.8
Black Book,R,Drama,Paul Verhoeven,Carice van Houten,7.7
Stick It,PG-13,Comedy,Jessica Bendinger,Missy Peregrym,6.4
Step Up,PG-13,Crime,Anne Fletcher,Channing Tatum,6.5
Step Up,PG-13,Drama,Jon M. Chu,Sharni Vinson,6.2
The Host,R,Action,Bong Joon Ho,Kang-ho Song,7.1
The Host,PG-13,Action,Andrew Niccol,Saoirse Ronan,5.9
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,Comedy,Larry Charles,Sacha Baron Cohen,7.3
Snakes on a Plane,R,Action,David R. Ellis,Samuel L. Jackson,5.4
Lady in the Water,PG-13,Drama,M. Night Shyamalan,Paul Giamatti,5.5
Crank,R,Action,Mark Neveldine,Jason Statham,6.9
The Illusionist,PG-13,Drama,Neil Burger,Edward Norton,7.6
Over the Hedge,PG,Animation,Tim Johnson,Bruce Willis,6.7
Final Destination 3,R,Horror,James Wong,Mary Elizabeth Winstead,5.8
Stranger Than Fiction,PG-13,Comedy,Marc Forster,Will Ferrell,7.5
Alpha Dog,R,Biography,Nick Cassavetes,Emile Hirsch,6.9
Aquamarine,PG,Comedy,Elizabeth Allen Rosenbaum,Emma Roberts,5.4
Scary Movie 4,PG-13,Comedy,David Zucker,Anna Faris,5.1
The Fall,R,Adventure,Tarsem Singh,Lee Pace,7.9
John Tucker Must Die,PG-13,Comedy,Betty Thomas,Jesse Metcalfe,5.8
The Good Shepherd,R,Drama,Robert De Niro,Matt Damon,6.7
Rocky Balboa,PG,Action,Sylvester Stallone,Sylvester Stallone,7.1
Eragon,PG,Action,Stefen Fangmeier,Ed Speleers,5.1
Dreamgirls,PG-13,Drama,Bill Condon,Beyoncé,6.5
The Queen,PG-13,Biography,Stephen Frears,Helen Mirren,7.3
Babel,R,Drama,Alejandro G. Iñárritu,Brad Pitt,7.4
A Good Year,PG-13,Comedy,Ridley Scott,Russell Crowe,7.0
Miami Vice,R,Action,Michael Mann,Colin Farrell,6.0
Saw III,R,Crime,Darren Lynn Bousman,Tobin Bell,6.2
Happy Feet,PG,Animation,George Miller,Elijah Wood,6.4
Black Snake Moan,R,Drama,Craig Brewer,Christina Ricci,6.9
Paprika,R,Animation,Satoshi Kon,Megumi Hayashibara,7.7
Monster House,PG,Animation,Gil Kenan,Mitchel Musso,6.6
Scoop,PG-13,Comedy,Woody Allen,Scarlett Johansson,6.6
World Trade Center,PG-13,Drama,Oliver Stone,Nicolas Cage,5.9
Employee of the Month,PG-13,Comedy,Greg Coolidge,Jessica Simpson,5.5
Little Man,PG-13,Comedy,Keenen Ivory Wayans,Shawn Wayans,4.5
The Benchwarmers,PG-13,Comedy,Dennis Dugan,David Spade,5.5
Poseidon,PG-13,Action,Wolfgang Petersen,Richard Dreyfuss,5.7
Flushed Away,PG,Animation,David Bowers,Hugh Jackman,6.6
Rescue Dawn,PG-13,Action,Werner Herzog,Christian Bale,7.3
When a Stranger Calls,PG-13,Horror,Simon West,Camilla Belle,5.1
A Scanner Darkly,R,Animation,Richard Linklater,Keanu Reeves,7.1
DOA: Dead or Alive,PG-13,Action,Corey Yuen,Jaime Pressly,4.8
Shortbus,Not Rated,Comedy,John Cameron Mitchell,Sook-Yin Lee,6.4
Catch and Release,PG-13,Comedy,Susannah Grant,Jennifer Garner,6.0
The Break-Up,PG-13,Comedy,Peyton Reed,Jennifer Aniston,5.8
Tell No One,Not Rated,Crime,Guillaume Canet,François Cluzet,7.5
United 93,R,Action,Paul Greengrass,David Alan Basche,7.6
The Pink Panther,PG,Adventure,Shawn Levy,Steve Martin,5.7
Letters from Iwo Jima,R,Action,Clint Eastwood,Ken Watanabe,7.9
Southland Tales,R,Comedy,Richard Kelly,Dwayne Johnson,5.4
Inland Empire,R,Drama,David Lynch,Karolina Gruszka,6.9
Flags of Our Fathers,R,Action,Clint Eastwood,Ryan Phillippe,7.1
Failure to Launch,PG-13,Comedy,Tom Dey,Matthew McConaughey,5.6
Clerks II,R,Comedy,Kevin Smith,Brian O'Halloran,7.3
16 Blocks,PG-13,Action,Richard Donner,Bruce Willis,6.6
My Super Ex-Girlfriend,PG-13,Comedy,Ivan Reitman,Uma Thurman,5.1
Tristan + Isolde,PG-13,Action,Kevin Reynolds,James Franco,6.8
The Lake House,PG,Drama,Alejandro Agresti,Keanu Reeves,6.8
The Wicker Man,PG-13,Horror,Neil LaBute,Nicolas Cage,3.7
Open Season,PG,Animation,Roger Allers,Ashton Kutcher,6.1
Charlotte's Web,G,Adventure,Gary Winick,Dakota Fanning,6.3
Candy,R,Drama,Neil Armfield,Heath Ledger,7.2
The Omen,R,Action,John Moore,Liev Schreiber,5.5
Penelope,PG,Comedy,Mark Palansky,Christina Ricci,6.7
Beerfest,R,Comedy,Jay Chandrasekhar,Jay Chandrasekhar,6.3
Stay Alive,PG-13,Fantasy,William Brent Bell,Jon Foster,5.1
Bug,R,Drama,William Friedkin,Ashley Judd,6.1
Turistas,R,Horror,John Stockwell,Josh Duhamel,5.4
Notes on a Scandal,R,Crime,Richard Eyre,Cate Blanchett,7.4
Volver,R,Comedy,Pedro Almodóvar,Penélope Cruz,7.6
Seraphim Falls,R,Action,David Von Ancken,Pierce Brosnan,6.7
Invincible,PG,Biography,Ericson Core,Mark Wahlberg,7.1
Firewall,PG-13,Action,Richard Loncraine,Harrison Ford,5.8
The Exterminating Angels,Not Rated,Drama,Jean-Claude Brisseau,Frédéric van den Driessche,5.4
